City,EM Office Contact,"Emergency
Manager",EM Contact
Arlington,"City of Arlington
238 N Olympic Avenue
Arlington, WA 98223
Phone: 360-403-3421","Paul Ellis
Emergency
Management
Coordinator","360-403-3441
pellis@arlingtonwa.gov"
Brier,"Brier City Hall
2901 228 th St SW
Brier, WA 98036
425-775-5440","Jamie Gravell
Emergency
Services
Coordinating
Agency
(ESCA)","Telephone: (425) 776-3722
Fax: (425) 775-7153
Email: Jamie@esca1.com 
Web site: www.esca1.com"
Edmonds,-,"Edmonds 
Police
Department","425.771.0200 (voice)
425.771.0208 (fax)"
Everett,"Phone: 425-257-8117
Fax: 425-257-8136","Sarah
LaVelle
Emergency
Planning and
Operations
Coordinator","Email: slavelle@everettwa.gov
Phone: 425-257-7965"
Lake Stevens,-,"Snohomish
County
Department
of
Emergency
Management","Ph: 425-388-5060
Fx: 425-423-9152"
Lynwood,"City of Lynnwood
19100 44th Ave W
PO Box 5008
Lynnwood WA 98046-
5008
425-670-5000","Snohomish
County
Department
of
Emergency
Management","Ph: 425-388-5060
Fx: 425-423-9152"
Marysville,"Phone: 360-363-8000
Fax: 360-651-5033","Diana Rose

Risk/Emergen
cy Manager","drose@marysvillewa.gov
360-363-8096"
Mill Creek,"Greg Elwin 
Police Chief
grege@cityofmillcreek.
com
425-921-5707","Snohomish
County
Department
of
Emergency
Management","Ph: 425-388-5060
Fx: 425-423-9152"
Monroe,"Monroe Police
Department 
818 West Main St. 
Monroe, WA 98272 
Phone: 360-794-6300 
Fax: 360-794-3129 
TTY: 360-863-4627","Monroe City
Hall 
806 West
Main St. 
Monroe, WA
98272 
Phone: 360-
794-7400 
Fax: 360-794-
4007 
TTY: 360-
863-4626 
Water or

sewer
problems
after hours:
425-239-0189",-
Snohomish,"Keith Rogers
Chief of Police
Ph: 360-568-0888
Fx: 360-568-8377
Emergency: 911 
Non-Emergencies: 425-
407-3999","Snohomish
County
Department
of
Emergency
Management","Ph: 425-388-5060
Fx: 425-423-9152"
Stanwood,"8727 271st Street NW
P.O. Box 127
Stanwood, WA 98292","Stanwood
Police
Department","Phone: (425) 388-5290
general questions or Dispatch
425-407-3999
Fax: (360) 629-2886
Email: stanwood.police@snoc
o.org"
Tulalip Tribes,"Tulalip Tribes
Emergency
Management
6406 Marine Dr.
Tulalip, WA 98271
Phone: 360-716-4006","Ashlynn
Danielson","360-716-4006
adanielson@tulaliptribes-
nsn.gov"
