Provider Number,Network,Facility Name,Address Line 1,Address Line 2,City,State,Zip,County,Phone Number,Profit or Non-Profit,Chain Owned,Chain Organization,Late Shift,# of Dialysis Stations,Offers in-center hemodialysis,Offers in-center peritoneal dialysis,Offers home hemodialysis training,Location 
502586,16,"TOTAL RENAL CARE, INC",4110 NE 4TH ST STE E,,RENTON,WA,98059,KING,(425) 226-2408,Profit,TRUE,DAVITA,FALSE,7,TRUE,FALSE,FALSE,"(47.494834, -122.132064)"
502593,16,NKC FEDERAL WAY EAST KIDNEY CENTER,33820 WEYERHAEUSER WAY S STE 100,,FEDERAL WAY,WA,98001,KING,(206) 720-8839,Non-Profit,TRUE,NORTHWEST KIDNEY CENTERS,TRUE,14,TRUE,TRUE,TRUE,"(47.308313, -122.266685)"
502505,16,NKC LAKE WASHINGTON KIDNEY CENTER,"1474 112TH AVE NE, SUITE 100",,BELLEVUE,WA,98004,KING,(425) 454-0067,Non-Profit,TRUE,NORTHWEST KIDNEY CENTERS,TRUE,18,TRUE,TRUE,FALSE,"(47.619011, -122.203169)"
502553,16,NKC KENT KIDNEY CENTER,25316 74TH AVE S STE 101,,KENT,WA,98032,KING,(253) 850-6810,Non-Profit,TRUE,NORTHWEST KIDNEY CENTERS,TRUE,18,TRUE,TRUE,TRUE,"(47.390601, -122.261321)"
502516,16,NKC KIRKLAND KIDNEY CENTER,11327 NE 120TH ST,,KIRKLAND,WA,98034,KING,(425) 821-8785,Non-Profit,TRUE,NORTHWEST KIDNEY CENTERS,TRUE,20,TRUE,TRUE,TRUE,"(47.719278, -122.204248)"
502508,16,NKC RENTON KIDNEY CENTER,602 OAKESDALE AVE SW,,RENTON,WA,98057,KING,(425) 251-0647,Non-Profit,TRUE,NORTHWEST KIDNEY CENTERS,TRUE,32,TRUE,TRUE,TRUE,"(47.476576, -122.215501)"
502500,16,NKC SEATTLE KIDNEY CENTER,548 15TH AVE,,SEATTLE,WA,98122,KING,(206) 720-3940,Non-Profit,TRUE,NORTHWEST KIDNEY CENTERS,TRUE,38,TRUE,TRUE,TRUE,"(47.61065, -122.303413)"
502536,16,NKC LAKE CITY KIDNEY CENTER,14524 BOTHELL WAY NE,,LAKE FOREST PARK,WA,98155,KING,(206) 365-0775,Non-Profit,TRUE,NORTHWEST KIDNEY CENTERS,TRUE,18,TRUE,TRUE,FALSE,"(47.756486, -122.303324)"
502585,16,"TOTAL RENAL CARE, INC",27320 PACIFIC HWY S,,FEDERAL WAY,WA,98003,KING,(253) 529-7825,Profit,TRUE,DAVITA,TRUE,12,TRUE,FALSE,FALSE,"(47.310006, -122.313367)"
502511,16,NKC ELLIOTT BAY KIDNEY CENTER,"600 BROADWAY, SUITE 240",,SEATTLE,WA,98122,KING,(206) 292-2515,Non-Profit,TRUE,NORTHWEST KIDNEY CENTERS,TRUE,18,TRUE,FALSE,FALSE,"(47.61065, -122.303413)"
